source_platform,company,recruit_type,source_job_id,job_id,title,locations,employment_type,category,publish_time,description,requirement,url,scraped_at
huawei_careers,华为,社会招聘,205629,AD2026021300052,法务综合专员,中国/济南,全职,法务与合规族,2026-02-13T11:31:40.000+0800,"1、负责代表处重大合同法律审核，揭示风险，支持业务决策。
2、负责评审代表处业务模式等方案，提供法律综合解决方案，参与合同谈判。
3、负责处理代表处各类复杂纠纷，维护公司权益。","1、法律专业本科以上学历，硕士学历、国内外知名法学院背景优先，熟悉法律各专业领域基础知识。
2、具备法律领域5年以上相关工作经验，具备法律职业资格证优先。
3、具备良好的团队合作和沟通表达能力，有较强的业务理解力、执行力，具备较好的法律谈判技巧与检索分析能力。
4、具备良好的法律英语读写能力。",https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=30236&dataSource=1,2026-08-01 15:26:14+08:00
huawei_careers,华为,社会招聘,205834,AD2026021300047,法务专员,中国/济南,全职,法务与合规族,2026-02-14T09:36:53.000+0800,"1、负责签约授权管理，维护授权矩阵，支持规范行权，防范无权与越权风险。
2、负责印章管理，落实用印规范，开展日常评估检查，防范违规用印。
3、负责合同法律评审，参与招投标与谈判，审核法律文件，揭示风险并支撑业务决策。","1、法律专业本科以上学历，硕士学历、国内外知名法学院背景优先，熟悉法律各专业领域基础知识。
2、具备法律领域3年以上相关工作经验，具备法律职业资格证优先。
3、具备良好的团队合作和沟通表达能力，有较强的业务理解力与执行力。
4、具备良好的法律英语读写能力。",https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=30231&dataSource=1,2026-08-01 15:26:14+08:00
huawei_careers,华为,社会招聘,216906,AD2026052900093,单板硬件工程师,中国/杭州,全职,研发族,2026-05-29T17:50:01.000+0800,"1、开展华为算力集群硬件项目应用场景分析及硬件系统需求分析，承担硬件架构与系统方案设计和创新；负责关键技术的孵化、落地，交付竞争力领先且具备优秀DFX基因可维可测的计算产品。
2、负责华为算力集群硬件（AI集群、服务器、板卡、模组）的单板交付，对产品交付质量和进度负责；
3、负责单板硬件全流程开发测试，主导单板硬件方案设计、器件选型、原理图设计、调试测试、生产导入，满足产品功能、性能、成本、可靠性等多维度的设计需求；
4、协同周边工程领域（含整机、结构、散热、工艺、互连、器件、EMC、安规等），保障整体方案落地，并参与指导系统调测验证、疑难问题解决。","语言要求:
简体中文
教育背景要求:
本科及以上

技能要求:
1、 完整的硬件电路系统设计及周边工程领域协同工作能力（含整机、结构、散热、工艺、互连、器件、EMC、安规等）。
2、掌握电子基础知识、数电模电、控制原理，熟练掌握ARM/X86相关的一种或多种硬件体系结构；
2、硬件系统中各种电源、时钟、高速信号、器件、软硬件接口等相关的疑难问题定位和攻关能力。
3、可靠性、EMC、安规、整机、信号完整性、互连等工程设计能力。
4、 创新方案设计、专利、产品规划、产品竞争力提升。 

知识要求:
1、熟练掌握原理图绘制工具的使用或者逻辑编写能力，熟悉IPD流程，熟悉电源、时钟、逻辑相关的设计要求，具有成熟的电子产品开发调试经验，具备团队协作问题攻关能力，能够解决研发过程中遇到的问题；
2、具备硬件测试方案设计以及测试用例编写能力；
3、理解产品的可靠性、可制造性、可维护性等要求，并能应用于产品设计中。

优选：具备AI类硬件交付背景者优先考虑。",https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=34114&dataSource=1,2026-08-01 15:26:14+08:00
huawei_careers,华为,社会招聘,216989,AD2026060100004,AI算子性能优化专家,中国/上海,全职,研发族,2026-06-02T14:53:45.000+0800,"通过深度融合领域知识图谱与多智能体协作框架，确保海量存量基站代码的架构演进与自动化治理能力，支撑华为无线通信业务在复杂技术栈下持续保持高性能与高可靠性
1、导构建基于 AI 辅助的智能化研发流水线，通过“Spec驱动开发”与“Agent智能体工作流”，引领精锐技术团队实现从“传统代码编写者”向“AI系统架构师与契约定义者”的范式跃迁。
2、负责构建与落地 AI 辅助编码的全流程标准，探索基于超长上下文窗口与上下文缓存技术的全量代码库级理解。构建领域知识系统，帮助研发团队利用 AI 快速跨越庞大且复杂的传统通信代码，实现架构的持续演进；制定团队的赋能与培训计划，带领团队熟悉 YOLO 等多种 AI 辅助模式，作为技术导师推动整个软件开发生命周期（SDLC）的敏捷化和智能化","教育背景要求：本硕博，专业：AI、计算机、通信、数据分析优先。
技能&经验要求：具备以下技能&经验者优先
1. AI for Coding 深度实践：有大规模(百万级代码量)项目的code Agent 开发经验&交付经验。深入理解并主导过基于LLM的企业级落地项目。
2. 底层与嵌入式开发底蕴优先： 具备扎实的 C/C++ 功底，拥有 5 年以上高性能系统软件、嵌入式软件或异构计算（如 DSP、GPU、NPU）软件开发背景。理解内存管理、指针操作、实时操作系统（RTOS）及底层编译原理。
3. 大模型工程化能力： 熟练掌握 Prompt Engineering、RAG 架构设计，Agent工程化、SKILL测评与优化、质量工程方法、有使用特定领域数据训练/微调代码大模型的实际项目经验。",https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=34187&dataSource=1,2026-08-01 15:26:14+08:00
